"Actual","Predicted"
14600,10054.9594749943
7500,10052.4705530939
2700,3502.41872135347
4999,4872.66523032988
900,1051.68131750045
800,2925.65078894869
2700,2457.07625889759
2850,2397.99912619951
1500,1974.7307219326
4750,6320.39892429493
4950,7978.91209071184
2800,3117.47513373902
2700,3815.1627287329
4000,5876.63355031014
5900,5613.49458456749
8200,6640.6440663665
10999,11347.9779466866
800,2674.08851771927
7700,3555.08219126132
989,1983.96449339893
1550,4416.5707759183
8150,10065.3776210882
575,4875.14212202258
4500,2373.27657173109
2800,3007.55267816022
3350,3806.35009145094
2900,2702.45400376978
13300,14308.2942695273
19500,14441.5563299009
1800,4173.73916177578
3899,2588.48498877759
430,1733.77035894331
14999,14293.1687918885
3499,2326.50391058668
3699,2196.62933383424
950,1819.00797712572
17800,13744.705430579
5200,5449.67646254923
2150,3781.92857732481
1100,1399.3697741968
1300,1116.4634876464
5500,6695.83293664039
7380,9970.57548147516
2275,1870.56824133259
3600,4346.03254364666
990,1776.58897266534
9300,7311.97480090091
22500,11807.4672157595
16000,25162.3997615179
2995,1819.00797712572
600,2006.38580097186
1900,1559.81131601316
1800,4913.39093161567
350,1290.12107258706
1500,2288.6226782699
4499,5264.56829485941
10000,3680.36607935473
5950,13777.8725592881
3499,2396.19767783465
0,1136.03265531039
23500,21647.0841743466
9500,11258.6063661826
1250,2906.47349877674
16900,13519.2236274188
5555,4352.96344614244
1000,1589.87780649159
4600,11256.3102864287
2250,2316.95281058801
3999,5923.96944250022
650,1639.59728621674
7599,7233.99679161629
799,1832.80624810354
9500,31576.642649271
6900,6328.04972297075
2250,2681.46928749576
4200,2858.77737606496
3250,2807.11457038852
0,826.109409242653
1490,1961.58136732105
16700,18234.6688439454
300,2279.81405074489
7450,8355.17167125053
900,1642.71627365901
5500,8530.03835538884
5890,4310.89219784184
13900,10325.2858802404
3900,4964.34397414725
1000,1634.62930033468
3600,6950.52996822867
1499,2604.82348940778
11500,7570.20058095177
4300,4006.69166270905
5840,5656.55855021551
3550,3976.16808453274
12990,10588.7069128497
800,1468.7231070546
980,1295.46914947392
1000,3170.65865332047
199,1361.56767153861
22650,16963.461918123
3650,3871.71327960689
3100,2892.92857927484
400,1954.23012187359
17499,16161.6755689321
1600,3535.78945918933
6950,6850.99243433045
14290,14327.3913621557
2699,2832.09926555121
1999,2749.67954751794
8999,9907.66458417622
1400,1236.42362406804
11950,13996.0129241818
1550,3490.66033860667
23900,16806.7899320473
2500,1518.57214283011
790,1320.94039686515
2450,2392.37005192397
180,3318.63386800919
2400,3326.99945643474
14990,13329.2779272156
650,1870.56824133259
10900,8293.4347230193
12999,1758.59528224403
13800,16761.8236965719
800,1740.88124203364
3900,3018.11058951761
1000,1174.08649929354
350,1341.62961861082
5900,5035.80684329079
5750,5481.69073559444
2899,4605.63882119685
2900,3754.20593523961
6989,8356.08450631362
4950,5789.98753766178
1480,3216.90697951655
3100,3842.2668018234
2000,2713.85995935494
5600,6344.49838853561
0,1633.74759279057
8500,7737.47449495068
6500,6058.58915649496
1850,1819.00797712572
250,1909.68187136435
10799,12352.4752402333
5799,4701.45632969915
900,1703.92046209947
27900,22932.0724199139
1000,1734.59185925725
0,7588.37569980468
4650,4812.46105313046
11300,14345.5204585685
4500,6531.41149880909
1490,2912.71568091381
7000,7675.89085843806
2800,2381.90311346341
10000,11735.8411340485
6000,3526.04869866634
1350,2094.96540355064
1300,34023.917216143
2100,3081.25244115576
20000,11285.4717512222
16900,14376.9950425666
2900,3007.89157801321
1100,2626.47469988022
31500,28910.5388025962
1,919.491808129511
3500,1889.78322886046
980,1496.33245138192
2580,1819.00797712572
0,4022.78439084314
300,1361.56767153861
2800,2542.91839171804
2499,1906.78088068099
4800,3802.15097156894
11500,13790.782623652
3450,3048.4470850659
8399,6039.25297486882
1650,2700.56020210003
2900,4417.76349146111
1000,1468.48004931781
6900,7347.22592730047
49500,9470.68584399029
799,1504.73884080508
450,1361.56767153861
9900,6755.54791633599
1150,3847.01592508619
21275,17764.1564089915
6995,7658.38638668702
900,1467.05364144582
15350,12037.7666531359
4600,3861.73129690458
3990,5123.69986388633
14900,14227.6570913602
4700,3185.53761614723
6500,9526.20084930015
3550,4203.66519860876
9500,8538.17770730005
26200,17591.7946762805
7500,7355.93041959987
35900,41141.4889778334
9000,7888.99686241452
6999,8905.65525749681
2950,3252.07636020818
900,1819.00797712572
250,1452.26977271839
0,1971.19595654747
500,1292.97240600225
8350,6930.17024324671
4500,3645.07359934262
1600,1341.62961861082
400,1499.47604393571
6900,8742.92118108402
17999,14519.9286844019
2750,1945.51948938837
4500,5764.027189992
11750,6646.4722680179
450,1322.34498669091
2100,3723.01172488432
8990,6768.38995799011
999,1292.97240600225
4650,4515.08452830294
4500,7410.29326065471
1000,1793.87228704216
2999,4021.6955786995
600,1399.3697741968
6200,6633.78327380852
12500,10227.3773505839
150,840.371206964619
10950,6822.12757220489
2350,1477.22439858814
2100,4103.2285732693
14500,12646.0312517582
2200,1911.32916317948
1600,1649.41887394452
17999,18157.3492760082
850,1300.15477530781
1550,5738.17318799683
1990,2724.30456867699
999,2381.06903056745
19499,16769.8771652395
16999,3153.75670816635
2999,3754.20593523961
10499,4745.43635951139
5000,6288.99528073634
4950,2360.80662819963
8400,4607.96479469593
3900,3966.43665998807
5300,4113.85915639702
1800,5088.40175072325
5000,4921.09479516776
12350,9166.94015906236
1000,1638.41728818758
3350,3573.95983170823
6999,6048.01267438784
4900,1968.35049306516
700,2276.8478279466
950,1825.91635787671
10000,5322.60232005457
430,1361.56767153861
2300,3233.97710257935
700,2287.55524339904
1200,2318.34818451399
5999,4072.00348273585
1650,2670.85247197108
1500,1673.57081813134
4999,2785.65908135883
6850,4974.73433682514
8999,8498.70531888509
350,1551.20950874703
100,1015.11538838487
1000,1465.95042698404
27500,28690.8480864745
110,871.95468794272
1750,1781.23191583269
1850,1851.24608523777
3900,3095.1384749448
14900,11234.0055757257
11950,11340.9974959234
1750,3768.64658417608
5999,3715.10939644432
3999,5537.88429790096
3980,3089.91158885688
8000,9525.74769015691
1400,2013.6814909243
8300,9741.89251812122
150,1621.46088988605
1199,1312.59816113954
4800,3637.41497274105
999,2257.41385304536
3550,3929.13547397614
11960,10751.3037949184
6888,8748.80050078822
6200,8075.17250460657
4500,4812.63673450656
55000,33854.0833062234
300,1320.94039686515
1400,1464.25910583214
9099,12240.8659522315
680,1468.48004931781
10333,8200.32974897105
1799,2396.19767783465
1999,2858.77737606496
9899,13496.5190778693
19999,20669.6927665034
3300,2943.51310657071
1200,1320.94039686515
8500,8636.32407134162
800,3520.06368893148
999,1885.29468083155
4200,6497.15633702923
4200,1909.10516025281
5000,5252.13564638066
4399,2801.02466764735
30400,19961.4988480306
2100,5463.61733234627
25000,25655.6486797931
18000,18635.9247560778
9000,9736.45810937441
2300,2812.63506064461
3600,2676.13686837103
10500,8356.08450631362
13600,18948.3465802928
600,1795.55508236715
250,1361.56767153861
1,1071.94762105835
1490,1740.88124203364
4600,4196.23792621218
1099,1912.94699547541
800,3386.97197488009
31500,16760.8094895819
100,869.845422913827
13499,14253.9983257019
0,2309.48313289635
120,2784.64438880951
2150,1983.96449339893
